s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
12,Hans Bellmer,The Doll ,surrealism,Tate,Germany,FALSE,photography,"photo, gelatin silver print on paper",24 x 24 cm,1936,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,1,0,4,4,FALSE,0,0,0,"viewpoint looking up at doll w/ no arms, legs on pole, disturbing, viewer is uncertain what it represents/ is about"
13,FrÃ©dÃ©ric Benrath,Untitled,abstraction,Tate,France,FALSE,print,"print, lithograph on paper",43 x 29 cm,1956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,3,5,0,1,1,FALSE,0,5,3,"visceral, overlapping scratched, textural lines, massed in one area, weird hair-like textural qualty of lines, hard to tell what this texture is"
14,Jyoti Bhatt,Baroda ,modernism,Tate,India,FALSE,photography,"photo, gelatin silver print on paper",24 x 61 cm,1983,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,0,0,1,2,FALSE,0,0,5,"2 images, angled light, strong contrast making it hard to read, quality of tones, repetition & difference"
15,Richard Billingham,Arrow ,representation,Tate,UK,FALSE,photography,"photo, chromogenic print on paper",51 x 76 cm,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,1,2,5,1,1,0,FALSE,0,0,5,"slightly pixelated, partially out of focus floor creates strange space, takes away the certainty of the ground"
16,Rut Blees Luxemburg,Viewing the Open,conceptual,Tate,Germany,FALSE,photography,"photo, paper mounted onto aluminium",150 x 242 cm,1999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,4,2,4,0,1,FALSE,0,0,5,"depiction of empty space at night w/ eerie, odd light & color"
17,Sandra Blow,Space and Matter ,abstraction,Tate,UK,FALSE,painting,"painting, oil on hardboard",152 x 123 cm,1959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,4,0,1,4,FALSE,0,3,5,"uncertain shapes, textures & spaces, overlapping, different scales, brush marks & handdrawn lines"
18,Mel Bochner,Language is not transparent ,conceptual,Tate,America,TRUE,drawing,"drawing, ink on paper",25 x 18 cm,1969,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,1,0,5,0,FALSE,0,5,0,"angled repeated sentence; content plays a part in addition to overlapping, placement & the materials. Uncertainty is predominately through orientation of the sentences and their subsequent overlapping, without the varied orientation, this would not communicate a jumbled sense of sentences piled up on each other"
19,Jonathan Borofsky,"Man with Briefcase at 2,756,805 ",postmod,Tate,America,TRUE,drawing,"drawing, ink on paper",30 x 21 cm,1980,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,3,0,0,0,5,FALSE,0,0,5,"silhouette of man carrying briefcase w/ number on it, placed off-center w/in empty space - stark, unmoored - ambiguous. What is this about? The exact outline of the flat dark shape on the empty ground is vital to creating uncertainty, make the shape more understandable and the piece would change in feel."
20,Derek Boshier ,The Identi-Kit Man ,pop art,Tate,UK,FALSE,painting,"painting, oil on canvas",183 x 183 cm,1962,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,1,2,0,1,4,FALSE,0,3,5,"more about ambiguity, collage effect, different sizes, collage combinations, hard to understand"
21,Boyd and Evans,The Wall ,representation,Tate,UK,FALSE,painting,"painting, acrylic on canvas",91 x 137 cm,1986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,0,0,1,4,FALSE,0,0,5,"hyper-realist, telling story but difficult to understand, certain mood, sense of waiting, figure with back to viewer gazing into deep space, expanse of wall on right"
22,Georges Braque,Bottle and Fishes,cubism,Tate,France,FALSE,painting,"painting, oil on canvas",62 x 75 x 2 cm,1910,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,4,3,0,3,4,FALSE,0,5,5,"multiple thick parallel lines w/ specific create angular shapes/planes, different orientations, can't quite read where the end of one object is & beginning of another, split up space, strong values w/ wide range w/in each facet/plane"
23,Adam Broomberg & Oliver Chanarin ,Political 1 sheet 19 ,conceptual,Tate,South Africa & UK,FALSE,photography,"photo, digital print on paper",150 x 190 cm,2010,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,3,2,2,1,0,4,FALSE,0,0,5,"red circle on sourced photo, strange combination, strange photo, relative sizes of circle & plastic milk cartons, impending splash of milk in air"
24,Cecily Brown,Trouble in Paradise ,representation,Tate,UK,FALSE,painting,"painting, oil on canvas",191 x 229 x 5 cm,1999,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,1,4,0,2,4,FALSE,0,5,5,"chaotic accumulation of lines in all directions, thick paint, semi-rep. areas squashed in by textural lines, hybrid biomorphic forms, textural brushwork, viscous paintly gestures"
25,Luis Camnitzer,Leftovers,conceptual,Tate,Germany/Uruguay,TRUE,installation,"installation, cardboard boxes, gauze, polyvinyl acetate",203 x 323 x 20 cm,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,4,4,0,4,FALSE,0,0,5,"uncertainty in terms of content, word 'leftovers' - what do these numbered boxes contain, what are the red stains"
26,James Casebere,Blue Hallway ,conceptual,Tate,America,FALSE,photography,photo,243 x 196 cm,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,4,0,0,0,4,TRUE,0,0,5,"Photo is of a table-top model of a flooded room - uncertainty about what it is. Reflected lines in 'water', emptiness. "
27,Vija Celmins,Ocean ,conceptual,Tate,Latvia,FALSE,print,"print, lithograph on paper",32 x 42 cm,1975,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,2,2,4,0,0,4,FALSE,0,0,5,"more ambiguity - is this a photo - & emptiness. Surface of ocean, no horizon, depth of space"
28,Dennis Creffield,Norwich from the East End: High Summer ,representation,Tate,UK,FALSE,drawing,"drawing, charcoal on paper",102 x 93 cm,1987,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,4,4,0,2,1,FALSE,0,5,5,"standing up or falling, lines don't join together much to create shapes, overlapping, gestural markmaking"
29,Tacita Dean,The Roaring Forties: Seven Boards in Seven Days,conceptual,Tate,UK,TRUE,drawing,"drawing, chalk on blackboard",14 boards each 244 x 244 cm,1997,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,4,0,1,4,FALSE,0,5,3,"words, arrows, images, chalk texture, white on black, traces, erasure"
30,Peter Doig,Echo Lake ,representation,Tate,Scotland,FALSE,painting,"paint, oil on canvas",231 x 361 x 5 cm,1998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,4,2,1,0,4,TRUE,0,0,5,"what's going on, figure w/ hands on head, strange light"
31,Leonardo Drew,Number 135,abstraction,Sikkema Jenkins,America,FALSE,installation,"installation, wood and mixed media",457 x 1748 x 160 cm,2009,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,1,0,3,0,5,0,FALSE,0,3,5,"scale: sheer size of work, & force of wood sticking out on top left, will it fall off, wall installation seems to be part of a floor sited on wall, decay"
32,Marcel Duchamp,3 stoppages Ã©talon (3 Standard Stoppages),conceptual,Tate,France,FALSE,sculpture,"sculpture, wood, glass & paint on canvas",40 x 130 x 90 cm,1913,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,0,0,0,4,FALSE,0,0,5,"chance: act of dropping 3 threads from a height equal to their length, cut wooden rulers to record the shape of each, 'preserved chance' "
33,Marlene Dumas,Lucy ,representation,Tate,South Africa,FALSE,painting,"painting, oil on canvas",110 x 130 x 2 cm,2004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,4,1,1,4,4,FALSE,0,0,5,"uncertainty as to whether the person is dead or alive, face drained of color, yellows"
34,Max Ernst,Celebes ,surrealism,Tate,Germany,FALSE,painting,"painting, oil on canvas",125 x 108 cm,1921,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,1,0,0,4,FALSE,0,0,5,"ambiguous -combination of objects together, fish at top in 'sky' etc"
35,Ã–yvind FahlstrÃ¶m,"Sketch for World Map Part 1 (Americas, Pacific) ",conceptual,Tate,Brazil,TRUE,print,"print, lithograph on paper",89 x 102 cm,1972,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4,2,2,2,0,2,3,FALSE,0,5,3,representational play with expectation of realistic map
36,Jean Fautrier,Head of a Hostage ,abstraction,Tate,France,FALSE,sculpture,"sculpture, lead on marble base",54 x 30 x 31 cm,1943,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,4,0,0,4,FALSE,0,0,5,"very textural, hard to read what this is,  is this a head?"
37,LeÃ_n Ferrari,Toilet ,postminimal,Tate,Argentine,FALSE,print,"print, blueprint on paper",100 x 100 cm,1982,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,2,1,1,0,0,4,FALSE,5,5,0,"puzzling plan of multiple, repeated, letraset icons, labyrinthine, complex, map, spaces, multiple recurring details, hard to tell what it is"
38,FranÃ§ois Louis Thomas Francia,A Shipwreck ,representation,Tate,France,FALSE,painting,"painting, watercolour on paper",19 x 28 cm,early 1800s,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,1,0,2,4,FALSE,0,0,5,"uncertainty in terms of content, will the people on the ship survive"
39,Sam Francis,Painting ,abstraction,Tate,America,FALSE,painting,"painting, watercolour on paper",63 x 49 cm,1957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2,4,0,2,4,FALSE,0,5,3,"uncertainty in terms of handling of paint, tentative, drips"
40,Helen Frankenthaler,Mirabelle ,abstraction,Tate,America,FALSE,print,"print, lithograph on paper",123 x 73 cm,1990,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,2,0,2,4,FALSE,0,3,5,"suggestion of anti-gravity, hard to define what it is, textural, suspended shape not fully opaque"
41,Giuseppe Pinot-Gallizio,Industrial Painting ,abstraction,Tate,Italy,FALSE,sculpture,"sculpture, monoprinted oil, acrylic, ink on canvas",Canvas roll approx 2255 cm long,1958,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,1,1,FALSE,0,0,5,"hanging canvas - suspended roll of painted canvas just off the floor, invented chemical techniques, huge canvases"
42,Gaspar Gasparian ,Mediunic,modernism,Tate,Brazil,FALSE,photography,"photo, gelatin silver print on paper",40 x 29 cm,1952,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2,0,0,0,2,FALSE,0,3,5,"fragmented, split object, reconfigured, unconventional darkroom techniques, where is the object? behind glass?"
43,Sam Gilliam,Simmering ,abstraction,Tate,America,FALSE,sculpture,"sculpture, acrylic on canvas and leather string",216 x 135 cm,1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,0,2,0,4,2,FALSE,0,0,5,"is this a painting, why is it not on a stretcher, suspended more like a cloak"
44,Fernanda Gomes,Untitled ,postminimal,Tate,Brazil,FALSE,installation,"installation, wood, paint & lacquer",198 x 200 x 10 cm,2013,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5,2,1,0,0,2,1,FALSE,0,5,5,"blank wall space w/ select lines / shapes, different sizes, what is it? empty space activated inbetween lines. Exact placing of basic elements on the wall in relation to the wall, floor is vital for the sense of what this piece communicates "
45,Arshile Gorky,Untitled,abstraction,Cleveland Museum of Art,Armenia / America,FALSE,painting,"painting, oil & graphite on canvas",50 x 64 cm,1944,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,4,4,0,2,4,FALSE,0,3,5,"quality of thin paint, wash, shapes, drips, areas of bare canvas, handdrawn gestures"
46,Giorgio Griffa,Segni orizzontali ,abstraction,Tate,Italy,FALSE,painting,"painting, acrylic on canvas",193 x 149 cm,1975,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,1,4,0,2,1,FALSE,0,5,3,"canvas hung, not stretched, & fold marks created, general simplicity, suggestion, tentativeness, angled paint lines stop halfway through a row"
47,Jan Groth,"Drawing, Untitled ",abstraction,Tate,Norway,FALSE,drawing,"drawing, crayon on paper",63 x 88 cm,1971,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,2,1,4,0,2,1,FALSE,0,5,0,"handdrawn lines, varying weights, position on surface, emptiness"
48,Philip Guston,Black Sea,,Tate,American,FALSE,painting,"painting, oil on canvas",173 x 297 cm,1977,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,4,1,3,0,0,4,FALSE,0,3,5,"isolated object, painterly handling, semi-abstract, strange"
49,Hans Hartung,T1963-R6,abstraction,Tate,German-French,FALSE,painting,"painting, acrylic on canvas",180 x 141 cm,1963,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,2,4,2,2,2,FALSE,0,5,3,"markmaking, scratched into paint in particular area, looks like hair, but image doesn't seem to be head, haunting"
50,Eberhard Havekost,Ghost 1 ,representation,Tate,German,FALSE,painting,"painting, oil on canvas",150 x 80 x 2 cm,2004,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,2,0,0,4,FALSE,0,0,5,"back view of figure, clothing, lack of information, generalized, hazy quality of paint handling, enigmatic"
51,Stanley William Hayter,Ophelia,abstraction,Tate,UK,FALSE,painting,"painting, oil, casein tempera & gesso on canvas",100 x 145 cm,1936,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,4,0,0,0,2,4,FALSE,0,3,5,"placing of particular color shapes & lines, odd, multiple viewpoints, sizes, can't tell what things are, where they are in space"
52,Tim Head,Ambidextrous ,conceptual,Tate,UK,FALSE,photography,"photo, color on paper",24 x 24 cm,1974,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,0,0,0,4,2,TRUE,0,0,5,"playing w/ ambiguity & uncertainty of what something is, mirror-image illusion: mirror held by a right hand reflects an identical mirror held by a left hand"
53,Nigel Henderson,Untitled No. 8 (Shattered Glass) ,collage,Tate,UK,FALSE,photography,"photo, collage, gelatin silver print & ink on paper",121 x 121 cm,1959,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1,3,4,0,4,2,FALSE,0,5,3,"collage of multiple images of shattered glass, different orientations & sizes, hard to tell scale, collage useful tool for ambiguity"
54,Anthony Hernandez,Rome #17 ,representation,Tate,America,FALSE,photography,photo on paper,100 x 99 cm,1999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,4,0,1,0,4,3,FALSE,0,5,5,"what is it? view up an elevator shaft in an unfinished building, repetition"
55,Eva Hesse,No Title ,postminimal,Whitney,America,FALSE,sculpture,"sculpture, latex, rope, string, and wire",dimensions variable (installed in room),1970,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,1,0,3,0,4,2,FALSE,0,5,0,"hanging weighty line and repetition, gravity, suspension, decay, materials, handmade quality, repetition"
56,Charline von Heyl,Twelve Thirty ,conceptual,Petzel Gallery,America,FALSE,painting,"painting, acrylic on canvas",218 x 208 cm,2005,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,0,0,4,2,FALSE,0,5,3,"layering of 2 systems, spaces, different weights of lines, values, sizes, sense of web, plays w/ digital & painting space & disorienting viewer"
57,Nicholas Hlobo,Balindile 1,postmod,Tate,South Africa,FALSE,sculpture,"sculpture, rubber inner tubes, steel, hosepipes, ribbon",dimensions variable,2012,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,1,3,0,3,4,FALSE,0,5,3,"line connecting 3 shapes, ambiguous, evocative, anthropomorphic "
58,Robert Holyhead,Untitled (Rift),abstraction,robertholyhead.com (has work in Tate),UK,FALSE,painting,"painting, oil on canvas",51 x 36 cm,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2,0,0,2,3,FALSE,0,0,5,"repeated painted shape, doubling, but not quite, ""ordered and Â‰Ã›ÃèrationalÂ‰Ã›Âù objects, but located in an uncertain place"
59,Rebecca Horn ,Concert for Anarchy,postmod,Tate,Germany,FALSE,installation,"installation, piano, hydraulic rams & compressor",grand piano,1990,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,2,0,1,0,4,4,FALSE,0,5,5,"movement: suspending heavy piano from ceiling, repeated sound cycle of lid opening & keys fanning out"
60,Rebecca Horn ,Landscape of the Golem II ,postmod,Sean Kelly Gallery,Germany,FALSE,painting,"painting, acrylic on paper",40 x 30 cm,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,2,4,0,1,4,FALSE,0,3,5,"floating, ambiguous textural shapes and lines, odd space created"
61,Roni Horn,Then 2,conceptual,Hauser & Wirth Gallery,America,FALSE,drawing,"drawing, blue and red pigment and varnish on paper",221 x 257 cm,2006,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,4,3,FALSE,3,5,0,"floating short lines grouped into almost symbols, in space, reassembled, collage-like, hard to grasp"
62,Shirazeh Houshiary,Vapour,postmod,Lehmann Maupin Gallery,Iran,FALSE,painting,"painting, pencil & aquacryl on canvas & aluminum",270 x 190 cm,2010,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3,3,1,4,0,FALSE,3,5,5,"undulating surface, repeated color pencil marks, more in center & darker color, seeming layers of marks/lines"
63,Tess Jaray,Cupola Blue ,abstraction,Karsten Schubert Gallery,UK,FALSE,painting,"painting, oil on canvas",183 ÃŒÃ‘ 152 cm,1963,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,0,0,0,5,2,FALSE,0,5,5,"repetition, close to mirror image, hard to tell what the exact space is"
64,Frank Humphrey Sinkler Jennings,Swiss Roll ,,Tate,UK,FALSE,painting,"painting, oil paint on canvas on board",35 x 45 cm,1939,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,2,1,0,0,0,2,FALSE,0,0,5,"suggested movement of falling object painted in air in front of landscape, gravity, strange combination. Placement of swiss roll and its large size in relation to mountain landscape creates sense of gravity. "
65,Asger Jorn,Letter to my Son ,COBRA,Tate,Denmark,FALSE,painting,"painting, oil on canvas",130 x 196 cm,1957,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,4,2,0,2,FALSE,0,5,3,"paint drawn w/ energetic line, agitated painted marks"
66,Isaac Julien,Vagabondia ,conceptual,Tate,UK,FALSE,video_film,"video, 2 back projections, 7 mins",display dimensions variable,2000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,0,1,1,TRUE,0,0,5,video still - interesting because same image seen twice: different paths
67,Linda Karshan,Untitled ,abstraction,art-3gallery.com (has work in Tate),America,FALSE,drawing,"drawing, charcoal on paper",76 x 56 cm,1994,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,2,0,1,5,FALSE,0,5,0,"markmaking, searching quality, overlayered, variations on similar shape"
68,Barbara Kasten,Untitled 13,conceptual,Tate,America,FALSE,photography,"photo, gelatin silver print on paper",41 x 51 cm,1979,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,0,0,4,0,TRUE,0,5,3,"objects & prints layered, partial photogram, uses relative sizes, light box outline & darker outlines, semi-translucent, multiple orientations "
69,GyÃ¶rgy Kepes,Leaf and Prism ,,Tate,Hungary,FALSE,photography,"photo, gelatin silver print on paper",35 x 28 cm,1938,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,5,2,0,0,1,TRUE,0,3,5,"shadow on parts of a whole leaf shape, hard to understand, if the light falling on the leaf shape was changed to be a consistent one-value, the reading of space and the subsequent uncertainty of what this is, how it was done and most importantly, what the space is, would change."
70,Guillermo Kuitca,Untitled,postminimal,Sperone Westwater,Argentina,FALSE,painting,"painting, oil on canvas",45 x 55 cm,2013,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,1,0,2,5,FALSE,0,0,5,"shape facing in different directions, almost arrows pointing in opposite ways, hard to tell what it is "
71,Yayoi Kusama,Infinity Mirrored Room-Gleaming Lights of the Soul    ,postmod,David Zwirner Gallery,Japan,FALSE,installation,"installation, wood, metal, mirrors, acrylic panel, LED lighting, water",room size,2008,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,4,4,0,2,0,1,TRUE,5,0,0,"different size dots, use of reflection, water, LED lighting, creates repetition, hard to comprehend space"
72,Peter Lanyon,Thermal ,abstraction,Tate,UK,FALSE,painting,"painting, oil on canvas",183 x 152 cm,1960,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,0,3,4,0,0,1,FALSE,0,5,5,"overlayered paint, scraped surface, lines & marks from different directions, markmaking, sense of material, hard to tell what things are"
73,Julio Le Parc,"Continual Mobile, Continual Light ",constructivism,Tate,Argentina,FALSE,installation,"installation, painted wood, aluminium & nylon thread - kinetic",158 x 160 x 51 cm,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,1,1,0,4,0,TRUE,0,5,5,"kinetic relief - mirror-plate squares hung on threads, mirrors / reflections, moved by air currents, shadows, Â‰Ã›Ã·movementÂ‰Ã›Âª, Â‰Ã›Ã·indeterminacyÂ‰Ã›Âª, Â‰Ã›Ã·unpredictabilityÂ‰Ã›Âª"
74,Lee Bul,Souterrain,,Lehmann Maupin Gallery,South Korea,FALSE,sculpture,"sculpture, plywood on wooden frame, acrylic, mirror, alkyd paint",274 x 360 x 480 cm,2012,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0,4,4,0,3,2,TRUE,0,3,5,"use of mirrors/ reflection, hard to ascertain space & what it is, open structure, repetition, multiple parts"
75,Lee Ufan,From Line ,minimalism,Tate,Korea,FALSE,painting,"painting, oil & glue on canvas",182 x 228 cm,1978,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,5,2,2,1,0,FALSE,0,5,0,"fading out parallel paint lines, handdrawn quality of marks, yellow almost erased lines seem to glow and absorb blue lines"
76,Liliane Lijn,Liquid Reflections 2nd Series ,abstraction,lilianelijn.com (and Tate),America,FALSE,installation,"installation, acrylic drum w/ water, turntable, projector lamp, acrylic balls",84 x 140 x 114 cm,1968,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,4,1,4,4,1,4,1,TRUE,5,0,5,"kinetic, motion, light, layers, suspension, reflection"
77,El Lissitzky,Troublemaker ,suprematism,Tate,Russia,FALSE,print,"print, lithograph on paper",51 x 43 cm,1923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,1,0,0,0,4,4,FALSE,0,0,5,"specific unusual shapes, piled on top of each other, sited on empty space"
78,Heinz Mack,Light Dynamo ,kinetic art,Tate,Germany,FALSE,sculpture,"sculpture, aluminium, glass, wood & motor",58 x 57 x 22 cm,1963,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,0,2,2,0,5,0,TRUE,0,5,5,"optical illusions created thro materials & movement, when piece is turned on see rippling wave movements undulating across disc w/ reed pattern, lines constantly reforming geometries"
79,RenÃ© Magritte,Man with a Newspaper ,surrealism,Tate,Belgium,FALSE,painting,"painting, oil on canvas",116 x 81 cm,1928,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,1,0,0,0,3,FALSE,0,0,5,"what is going on? 4 panels - multiple, repeated scene, w/, w/out figure - disquietening. Placement vital here in a literal way."
